Wind Speed,Composite IEC Class I,Composite IEC Class II,Composite IEC Class III
0,0,0,0
0.25,0,0,0
0.5,0,0,0
0.75,0,0,0
1,0,0,0
1.25,0,0,0
1.5,0,0,0
1.75,0,0,0
2,0,0,0
2.25,0,0,0
2.5,0,0,0
2.75,0,0,0
3,0,0,9
3.25,0,0,22.125
3.5,0,0,35.25
3.75,0,0,48.375
4,28.5,42,61.5
4.25,46.875,64.5,84.375
4.5,65.25,87,107.25
4.75,83.625,109.5,130.125
5,102,132,153
5.25,129,164.25,185.625
5.5,156,196.5,218.25
5.75,183,228.75,250.875
6,210,261,283.5
6.25,246.375,303.375,329.25
6.5,282.75,345.75,375
6.75,319.125,388.125,420.75
7,355.5,430.5,466.5
7.25,403.875,485.625,526.875
7.5,452.25,540.75,587.25
7.75,500.625,595.875,647.625
8,549,651,708
8.25,607.875,715.875,779.625
8.5,666.75,780.75,851.25
8.75,725.625,845.625,922.875
9,784.5,910.5,994.5
9.25,851.625,974.25,1060.125
9.5,918.75,1038,1125.75
9.75,985.875,1101.75,1191.375
10,1053,1165.5,1257
10.25,1110.75,1213.5,1297.5
10.5,1168.5,1261.5,1338
10.75,1226.25,1309.5,1378.5
11,1284,1357.5,1419
11.25,1321.5,1382.625,1434.375
11.5,1359,1407.75,1449.75
11.75,1396.5,1432.875,1465.125
12,1434,1458,1480.5
12.25,1445.625,1465.875,1484.625
12.5,1457.25,1473.75,1488.75
12.75,1468.875,1481.625,1492.875
13,1480.5,1489.5,1497
13.25,1483.125,1491.375,1497.375
13.5,1485.75,1493.25,1497.75
13.75,1488.375,1495.125,1498.125
14,1491,1497,1498.5
14.25,1492.5,1497.75,1498.875
14.5,1494,1498.5,1499.25
14.75,1495.5,1499.25,1499.625
15,1497,1500,1500
15.25,1497.375,1500,1500
15.5,1497.75,1500,1500
15.75,1498.125,1500,1500
16,1498.5,1500,1500
16.25,1498.875,1500,1500
16.5,1499.15625,1500,1500
16.75,1499.367188,1500,1500
17,1499.525391,1500,1500
17.25,1500,1500,1500
17.5,1500,1500,1500
17.75,1500,1500,1500
18,1500,1500,1500
18.25,1500,1500,1500
18.5,1500,1500,1500
18.75,1500,1500,1500
19,1500,1500,1500
19.25,1500,1500,1500
19.5,1500,1500,1500
19.75,1500,1500,1500
20,1500,1500,1500
20.25,1500,1500,1500
20.5,1500,1500,1500
20.75,1500,1500,1500
21,1500,1500,1500
21.25,1500,1500,1500
21.5,1500,1500,1500
21.75,1500,1500,1500
22,1500,1500,1500
22.25,1500,1500,0
22.5,1500,1500,0
22.75,1500,1500,0
23,1500,1500,0
23.25,1500,1500,0
23.5,1500,1500,0
23.75,1500,1500,0
24,1500,1500,0
24.25,1500,1500,0
24.5,1500,1500,0
24.75,1500,1500,0
25,1500,1500,0
25.25,0,0,0
25.5,0,0,0
25.75,0,0,0
26,0,0,0
26.25,0,0,0
26.5,0,0,0
26.75,0,0,0
27,0,0,0
27.25,0,0,0
27.5,0,0,0
27.75,0,0,0
28,0,0,0
28.25,0,0,0
28.5,0,0,0
28.75,0,0,0
29,0,0,0
29.25,0,0,0
29.5,0,0,0
29.75,0,0,0
30,0,0,0
30.25,0,0,0
30.5,0,0,0
30.75,0,0,0
31,0,0,0
31.25,0,0,0
31.5,0,0,0
31.75,0,0,0
32,0,0,0
32.25,0,0,0
32.5,0,0,0
32.75,0,0,0
33,0,0,0
33.25,0,0,0
33.5,0,0,0
33.75,0,0,0
34,0,0,0
34.25,0,0,0
34.5,0,0,0
34.75,0,0,0
35,0,0,0
35.25,0,0,0
35.5,0,0,0
35.75,0,0,0
36,0,0,0
36.25,0,0,0
36.5,0,0,0
36.75,0,0,0
37,0,0,0
37.25,0,0,0
37.5,0,0,0
37.75,0,0,0
38,0,0,0
38.25,0,0,0
38.5,0,0,0
38.75,0,0,0
39,0,0,0
39.25,0,0,0
39.5,0,0,0
39.75,0,0,0
40,0,0,0
